run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
4,45,MLP,0.8125,0.8091397849462365,0.9868852459016394,0.8892171344165436,0.8665056082830025,24,71,4,301,1.967040899999997,0.002405400000000668
4,45,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.030390300000000536,0.010418899999997677
4,45,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.013887699999997949,0.001806699999995942
5,46,ELM,0.785,0.7935656836461126,0.9704918032786886,0.8731563421828908,0.5799827437446075,18,77,9,296,0.1770157999999995,0.00043980000000232167
5,46,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6112855910267472,0,95,0,305,0.05308180000000107,0.0008977000000029989
5,46,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,0.9999827437446074,94,1,0,305,0.12887190000000004,0.014678299999999922
5,46,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9427437446074202,1,94,0,305,0.22873969999999844,0.026722599999999375
5,46,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9283520276100086,0,95,0,305,0.2762943999999976,0.0017527000000043813
5,46,MLP,0.8075,0.8031914893617021,0.9901639344262295,0.8869309838472834,0.8626056945642795,21,74,3,302,1.2209179999999975,0.002174599999996474
5,46,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.03043800000000374,0.011339799999994682
5,46,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.010409700000003852,0.0007777000000004364
6,47,ELM,0.78,0.7940379403794038,0.9606557377049181,0.8694362017804155,0.580327868852459,19,76,12,293,0.01888840000000158,0.0006929999999982783
6,47,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.5881276962899051,0,95,0,305,0.01186440000000033,0.001112999999996589
6,47,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,0.9999827437446075,94,1,0,305,0.13454300000000075,0.014670999999999879
6,47,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.04800690250215702,0,95,0,305,0.22125449999999347,0.025957900000001644
6,47,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9529767040552201,0,95,0,305,0.05719599999999758,0.0027725000000060618
6,47,MLP,0.8275,0.8241758241758241,0.9836065573770492,0.8968609865470852,0.8618464193270061,31,64,5,300,0.9858329000000055,0.001928999999996961
6,47,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.02382329999999655,0.009543000000000745
6,47,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.014030699999999285,0.001623800000004394
7,48,ELM,0.765,0.7740259740259741,0.9770491803278688,0.863768115942029,0.5306298533218292,8,87,7,298,0.009942700000003413,0.0002995999999981791
7,48,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.613597929249353,0,95,0,305,0.014113999999999294,0.0006750000000010914
7,48,RF,0.995,0.993485342019544,1.0,0.9967320261437909,1.0,93,2,0,305,0.1529830000000061,0.01265279999999791
7,48,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9539948231233824,1,94,0,305,0.23614090000000232,0.024922300000000064
7,48,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9471958584987058,0,95,0,305,0.04353429999999747,0.0022228999999995835
7,48,MLP,0.815,0.8130081300813008,0.9836065573770492,0.8902077151335311,0.8763416738567731,26,69,5,300,1.0136534000000026,0.001701399999994635
7,48,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.029838100000006307,0.009209699999999543
