model,feature,mean_importance,std_importance,mean_base_auc
ELM,Race,0.017113333333333335,0.018013394626358252,0.6896666666666667
ELM,Age,0.001006666666666672,0.02064959000201848,0.6896666666666667
ELM,Sex,0.016506666666666666,0.027670394168683124,0.6896666666666667
ELM,BMI,0.002013333333333338,0.021910392738185246,0.6896666666666667
ELM,Epworth,0.0030466666666666754,0.016941938689232338,0.6896666666666667
ELM,Wast,0.0017533333333333314,0.017188777788759286,0.6896666666666667
ELM,Hip,0.0007400000000000105,0.011702709237982967,0.6896666666666667
ELM,RDI,0.029446666666666677,0.02921264726507883,0.6896666666666667
ELM,Neck,0.012353333333333332,0.02138420579095565,0.6896666666666667
ELM,M.Friedman,0.0046866666666666714,0.017753360278256917,0.6896666666666667
ELM,Co-morbid,0.007100000000000005,0.02031065747378807,0.6896666666666667
ELM,Snoring,0.0014533333333333323,0.01023091519518142,0.6896666666666667
ELM,Daytime sleepiness,-0.0029466666666666634,0.015813941587662837,0.6896666666666667
ELM,DM,-0.0029333333333333316,0.028259019157477683,0.6896666666666667
ELM,HTN,0.007520000000000001,0.01599136609154091,0.6896666666666667
ELM,CAD,-0.0036133333333333304,0.01472250296543529,0.6896666666666667
ELM,CVA,0.002693333333333337,0.016128118629471826,0.6896666666666667
ELM,TST,-0.008446666666666668,0.016351534434497977,0.6896666666666667
ELM,Sleep Effic,0.001060000000000003,0.012386937092207883,0.6896666666666667
ELM,REM AHI,-0.005699999999999996,0.015481775741721606,0.6896666666666667
ELM,NREM AHI,0.01503333333333334,0.02753127726913839,0.6896666666666667
ELM,Supine AHI,0.03765333333333334,0.03335918716667199,0.6896666666666667
ELM,Apnea Index,0.01914,0.03871521392777889,0.6896666666666667
ELM,Hypopnea Index,0.02058666666666668,0.028481750389734793,0.6896666666666667
ELM,Berlin Q,0.004980000000000004,0.0195298314326948,0.6896666666666667
ELM,Arousal index,0.0018799999999999997,0.014174775388341835,0.6896666666666667
ELM,Awakening Index,0.0017533333333333324,0.012501211169392927,0.6896666666666667
ELM,PLM Index,0.0007066666666666687,0.013766106356211484,0.6896666666666667
ELM,Mins.SaO2,0.004313333333333334,0.029995657385500064,0.6896666666666667
ELM,Mins.SaO2Desats,0.006740000000000005,0.016767469200562518,0.6896666666666667
ELM,Lowest Sa02,0.01732,0.018847539743583646,0.6896666666666667
CLPSO,Race,0.02917333333333332,0.02804579713329798,0.6746
CLPSO,Age,-0.003973333333333348,0.017308786937944475,0.6746
CLPSO,Sex,0.02083999999999999,0.03306632993603308,0.6746
CLPSO,BMI,0.0015733333333333255,0.014111906962868466,0.6746
CLPSO,Epworth,0.0022066666666666524,0.017289849640317732,0.6746
CLPSO,Wast,0.009246666666666655,0.01908034229222065,0.6746
CLPSO,Hip,0.02001999999999999,0.035611635525419495,0.6746
CLPSO,RDI,0.011853333333333322,0.028839865196657977,0.6746
CLPSO,Neck,0.007846666666666658,0.02546320450425931,0.6746
CLPSO,M.Friedman,0.004446666666666653,0.022566104064095312,0.6746
CLPSO,Co-morbid,0.003866666666666656,0.023676573167565128,0.6746
CLPSO,Snoring,0.00040666666666665317,0.013782910004318171,0.6746
CLPSO,Daytime sleepiness,-0.006880000000000004,0.02980433344998108,0.6746
CLPSO,DM,0.0021933333333333193,0.019879377777453525,0.6746
CLPSO,HTN,0.005953333333333322,0.024788387207538884,0.6746
CLPSO,CAD,-0.004880000000000014,0.01511316532305101,0.6746
CLPSO,CVA,0.0006266666666666651,0.017275969857085408,0.6746
CLPSO,TST,0.009739999999999992,0.021423689134702047,0.6746
CLPSO,Sleep Effic,0.007926666666666648,0.023344517620288833,0.6746
CLPSO,REM AHI,-0.008980000000000012,0.02347090372434404,0.6746
CLPSO,NREM AHI,0.025653333333333316,0.033927680913433234,0.6746
CLPSO,Supine AHI,0.027019999999999995,0.039869125664937145,0.6746
CLPSO,Apnea Index,0.029386666666666665,0.053127258011868544,0.6746
CLPSO,Hypopnea Index,0.03454,0.045224605940307985,0.6746
CLPSO,Berlin Q,0.00199333333333332,0.0171174942146079,0.6746
CLPSO,Arousal index,0.007353333333333323,0.02251762246857841,0.6746
CLPSO,Awakening Index,0.004639999999999986,0.015759217482873764,0.6746
CLPSO,PLM Index,-0.0005000000000000126,0.017106197365402212,0.6746
CLPSO,Mins.SaO2,0.00010666666666666022,0.030138537044864647,0.6746
CLPSO,Mins.SaO2Desats,-0.004453333333333344,0.01554001964369144,0.6746
CLPSO,Lowest Sa02,0.03420666666666665,0.031891203208804515,0.6746
SVM,Race,0.03278333333333333,0.023326193143110754,0.7462333333333334
SVM,Age,-0.0010433333333333423,0.00906654476182236,0.7462333333333334
SVM,Sex,0.006373333333333331,0.012856407145013824,0.7462333333333334
SVM,BMI,0.0032999999999999982,0.005968592260093774,0.7462333333333334
SVM,Epworth,0.004886666666666668,0.006663441325050995,0.7462333333333334
SVM,Wast,0.005106666666666667,0.008785990975803473,0.7462333333333334
SVM,Hip,0.003843333333333332,0.010483276015797342,0.7462333333333334
SVM,RDI,0.004976666666666668,0.008357208605300809,0.7462333333333334
SVM,Neck,0.004236666666666671,0.01533279137104754,0.7462333333333334
SVM,M.Friedman,0.007509999999999993,0.00882652236591646,0.7462333333333334
SVM,Co-morbid,0.012073333333333328,0.011167431762215624,0.7462333333333334
SVM,Snoring,-0.004916666666666672,0.01021584310237767,0.7462333333333334
SVM,Daytime sleepiness,0.0020766666666666663,0.010009335408589183,0.7462333333333334
SVM,DM,0.018596666666666657,0.013031953083463384,0.7462333333333334
SVM,HTN,0.00751,0.006143670731613092,0.7462333333333334
SVM,CAD,-0.007213333333333347,0.010517523111344266,0.7462333333333334
SVM,CVA,0.0027799999999999925,0.008596044241870045,0.7462333333333334
SVM,TST,-0.003563333333333334,0.006787759020075768,0.7462333333333334
SVM,Sleep Effic,-0.001736666666666669,0.0064731374751298195,0.7462333333333334
SVM,REM AHI,0.0016266666666666634,0.008683287705708996,0.7462333333333334
SVM,NREM AHI,0.005166666666666661,0.008589657864095768,0.7462333333333334
SVM,Supine AHI,0.018889999999999994,0.016291744761332997,0.7462333333333334
SVM,Apnea Index,0.006266666666666665,0.009683240480274654,0.7462333333333334
SVM,Hypopnea Index,0.0033399999999999984,0.011013354997642333,0.7462333333333334
SVM,Berlin Q,0.0021300000000000012,0.006432755178093332,0.7462333333333334
SVM,Arousal index,0.002009999999999997,0.00722731255610448,0.7462333333333334
SVM,Awakening Index,0.0010599999999999963,0.004641178515387648,0.7462333333333334
SVM,PLM Index,-0.00486,0.007415958767714704,0.7462333333333334
SVM,Mins.SaO2,0.0032466666666666672,0.00924180939728105,0.7462333333333334
SVM,Mins.SaO2Desats,-0.0012133333333333369,0.006441335810027586,0.7462333333333334
SVM,Lowest Sa02,0.008386666666666659,0.011034186112164996,0.7462333333333334
