dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,p_wilcoxon,p_bh,significant_bh_0.05
OSA,accuracy,MGO,SVM,0.6418181818181818,0.6836363636363636,-0.04181818181818183,0.012761605376172215,0.06380802688086108,False
OSA,accuracy,MGO,MLP,0.6418181818181818,0.65,-0.008181818181818188,0.693536100487341,0.693536100487341,False
OSA,accuracy,MGO,LR,0.6418181818181818,0.6581818181818182,-0.016363636363636372,0.25495430143626907,0.3186928767953363,False
OSA,accuracy,MGO,XGB,0.6418181818181818,0.6527272727272726,-0.010909090909090913,0.40909767150878906,0.4306291279039885,False
OSA,accuracy,MGO,ELM,0.6418181818181818,0.6572727272727272,-0.01545454545454546,0.20244979858398438,0.28921399797712055,False
OSA,accuracy,RUN,SVM,0.6327272727272726,0.6836363636363636,-0.050909090909090925,0.00558214360906498,0.038079914323338675,True
OSA,accuracy,RUN,MLP,0.6327272727272726,0.65,-0.01727272727272728,0.2965192316109615,0.32946581290106836,False
OSA,accuracy,RUN,LR,0.6327272727272726,0.6581818181818182,-0.025454545454545462,0.08969497680664062,0.22420940708155396,False
OSA,accuracy,RUN,XGB,0.6327272727272726,0.6527272727272726,-0.020000000000000007,0.29400260171797643,0.32946581290106836,False
OSA,accuracy,RUN,ELM,0.6327272727272726,0.6572727272727272,-0.024545454545454554,0.24649589124509552,0.3186928767953363,False
OSA,accuracy,CLPSO,SVM,0.6263636363636362,0.6836363636363636,-0.057272727272727295,0.00018435155909396898,0.0036870311818793795,True
OSA,accuracy,CLPSO,MLP,0.6263636363636362,0.65,-0.023636363636363643,0.15364646911621094,0.28921399797712055,False
OSA,accuracy,CLPSO,LR,0.6263636363636362,0.6581818181818182,-0.03181818181818183,0.035104896914024145,0.14041958765609658,False
OSA,accuracy,CLPSO,XGB,0.6263636363636362,0.6527272727272726,-0.026363636363636367,0.06659856717063753,0.19825093160263377,False
OSA,accuracy,CLPSO,ELM,0.6263636363636362,0.6572727272727272,-0.03090909090909092,0.10089423318669928,0.22420940708155396,False
OSA,accuracy,GA,SVM,0.6309090909090909,0.6836363636363636,-0.052727272727272755,0.005711987148500801,0.038079914323338675,True
OSA,accuracy,GA,MLP,0.6309090909090909,0.65,-0.019090909090909096,0.1949218873507178,0.28921399797712055,False
OSA,accuracy,GA,LR,0.6309090909090909,0.6581818181818182,-0.027272727272727282,0.06938782606092182,0.19825093160263377,False
