dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,median_opt,median_base,p_ranksum,p_bh,significant_bh_0.05
OSA,accuracy,MGO,SVM,0.6954545454545454,0.6836363636363637,0.011818181818181728,0.6909090909090909,0.7,0.7149798814655983,0.7526104015427351,False
OSA,accuracy,MGO,MLP,0.6954545454545454,0.66,0.035454545454545405,0.6909090909090909,0.6636363636363636,0.10751135969600566,0.17918559949334276,False
OSA,accuracy,MGO,LR,0.6954545454545454,0.6581818181818181,0.037272727272727346,0.6909090909090909,0.6636363636363636,0.05478766617822591,0.13493039304870463,False
OSA,accuracy,MGO,XGB,0.6954545454545454,0.6536363636363636,0.041818181818181865,0.6909090909090909,0.6545454545454545,0.0026771929603067327,0.026771929603067325,True
OSA,accuracy,MGO,ELM,0.6954545454545454,0.6572727272727272,0.038181818181818206,0.6909090909090909,0.6727272727272727,0.05478766617822591,0.13493039304870463,False
OSA,accuracy,RUN,SVM,0.6927272727272726,0.6836363636363637,0.009090909090908927,0.7,0.7,0.6263280630826087,0.6959200700917874,False
OSA,accuracy,RUN,MLP,0.6927272727272726,0.66,0.032727272727272605,0.7,0.6636363636363636,0.1231088149584372,0.18939817685913415,False
OSA,accuracy,RUN,LR,0.6927272727272726,0.6581818181818181,0.034545454545454546,0.7,0.6636363636363636,0.0720454304673439,0.13493039304870463,False
OSA,accuracy,RUN,XGB,0.6927272727272726,0.6536363636363636,0.039090909090909065,0.7,0.6545454545454545,0.00904539678500551,0.06030264523337006,False
OSA,accuracy,RUN,ELM,0.6927272727272726,0.6572727272727272,0.035454545454545405,0.7,0.6727272727272727,0.07421171617678754,0.13493039304870463,False
OSA,accuracy,CLPSO,SVM,0.7,0.6836363636363637,0.016363636363636247,0.6909090909090909,0.7,0.4569506196695641,0.5375889643171342,False
OSA,accuracy,CLPSO,MLP,0.7,0.66,0.039999999999999925,0.6909090909090909,0.6636363636363636,0.06993121216128312,0.13493039304870463,False
OSA,accuracy,CLPSO,LR,0.7,0.6581818181818181,0.041818181818181865,0.6909090909090909,0.6636363636363636,0.03151710207456157,0.10505700691520524,False
OSA,accuracy,CLPSO,XGB,0.7,0.6536363636363636,0.046363636363636385,0.6909090909090909,0.6545454545454545,0.001551573649444107,0.026771929603067325,True
OSA,accuracy,CLPSO,ELM,0.7,0.6572727272727272,0.042727272727272725,0.6909090909090909,0.6727272727272727,0.026547517115491904,0.10505700691520524,False
OSA,accuracy,GA,SVM,0.6872727272727273,0.6836363636363637,0.0036363636363635488,0.6909090909090909,0.7,0.9568553503696526,0.9568553503696526,False
OSA,accuracy,GA,MLP,0.6872727272727273,0.66,0.027272727272727226,0.6909090909090909,0.6636363636363636,0.2616164678785774,0.3270205848482217,False
OSA,accuracy,GA,LR,0.6872727272727273,0.6581818181818181,0.029090909090909167,0.6909090909090909,0.6636363636363636,0.14041971470550127,0.20059959243643039,False
OSA,accuracy,GA,XGB,0.6872727272727273,0.6536363636363636,0.033636363636363686,0.6909090909090909,0.6545454545454545,0.02944088441208284,0.10505700691520524,False
OSA,accuracy,GA,ELM,0.6872727272727273,0.6572727272727272,0.030000000000000027,0.6909090909090909,0.6727272727272727,0.1555699325877425,0.20742657678365664,False
