run,seed,model,accuracy,f1,roc_auc
5,46,SVM,0.6545454545454545,0.5581395348837209,0.7293333333333333
5,46,MLP,0.6727272727272727,0.6086956521739131,0.764
5,46,LR,0.6545454545454545,0.6122448979591837,0.7853333333333333
5,46,XGB,0.6545454545454545,0.6122448979591837,0.664
5,46,ELM,0.509090909090909,0.47058823529411764,0.6026666666666667
5,46,MGO,0.5272727272727272,0.5,0.5493333333333332
5,46,RUN,0.6181818181818182,0.6037735849056604,0.6813333333333333
5,46,CLPSO,0.6,0.5416666666666666,0.688
5,46,GA,0.6363636363636364,0.6153846153846154,0.7399999999999999
6,47,SVM,0.6181818181818182,0.4878048780487805,0.768
6,47,MLP,0.6363636363636364,0.5454545454545454,0.716
6,47,LR,0.6727272727272727,0.5909090909090909,0.6986666666666667
6,47,XGB,0.6181818181818182,0.5531914893617021,0.6586666666666667
6,47,ELM,0.6727272727272727,0.625,0.6613333333333333
6,47,MGO,0.6363636363636364,0.6,0.7213333333333334
6,47,RUN,0.6909090909090909,0.6222222222222222,0.7226666666666667
6,47,CLPSO,0.4909090909090909,0.44,0.56
6,47,GA,0.6181818181818182,0.5531914893617021,0.6266666666666666
7,48,SVM,0.7454545454545455,0.65,0.8533333333333333
7,48,MLP,0.7090909090909091,0.6190476190476191,0.7506666666666666
7,48,LR,0.7272727272727273,0.6666666666666666,0.7693333333333333
7,48,XGB,0.6545454545454545,0.6122448979591837,0.7146666666666667
7,48,ELM,0.7090909090909091,0.6363636363636364,0.7333333333333333
7,48,MGO,0.6727272727272727,0.625,0.7413333333333333
7,48,RUN,0.7090909090909091,0.6363636363636364,0.7333333333333334
7,48,CLPSO,0.6727272727272727,0.5263157894736842,0.6346666666666666
7,48,GA,0.5454545454545454,0.4444444444444444,0.6373333333333333
8,49,SVM,0.6363636363636364,0.5454545454545454,0.6986666666666667
8,49,MLP,0.5636363636363636,0.45454545454545453,0.6773333333333333
8,49,LR,0.6363636363636364,0.5652173913043478,0.7040000000000001
8,49,XGB,0.6,0.5416666666666666,0.6559999999999999
8,49,ELM,0.6181818181818182,0.5531914893617021,0.7240000000000001
8,49,MGO,0.5818181818181818,0.46511627906976744,0.6346666666666666
8,49,RUN,0.6545454545454545,0.6274509803921569,0.7186666666666666
8,49,CLPSO,0.6,0.5217391304347826,0.6466666666666666
8,49,GA,0.5636363636363636,0.4782608695652174,0.54
9,50,SVM,0.7272727272727273,0.6808510638297872,0.7946666666666666
9,50,MLP,0.6363636363636364,0.6153846153846154,0.7266666666666666
9,50,LR,0.7272727272727273,0.6808510638297872,0.7693333333333333
9,50,XGB,0.6909090909090909,0.6666666666666666,0.6893333333333335
9,50,ELM,0.6363636363636364,0.6,0.696
9,50,MGO,0.6181818181818182,0.6037735849056604,0.6386666666666667
9,50,RUN,0.6363636363636364,0.6153846153846154,0.6973333333333332
9,50,CLPSO,0.6909090909090909,0.6666666666666666,0.7266666666666667
9,50,GA,0.6545454545454545,0.6545454545454545,0.688
10,51,SVM,0.6181818181818182,0.4878048780487805,0.6893333333333334
10,51,MLP,0.5818181818181818,0.5106382978723404,0.7026666666666667
10,51,LR,0.5818181818181818,0.5106382978723404,0.7066666666666667
10,51,XGB,0.5636363636363636,0.5,0.692
10,51,ELM,0.6545454545454545,0.5957446808510638,0.692
10,51,MGO,0.509090909090909,0.4489795918367347,0.5866666666666667
10,51,RUN,0.5454545454545454,0.46808510638297873,0.6186666666666667
10,51,CLPSO,0.6,0.5416666666666666,0.6826666666666666
10,51,GA,0.6727272727272727,0.6086956521739131,0.76
11,52,SVM,0.6363636363636364,0.5652173913043478,0.632
11,52,MLP,0.4909090909090909,0.48148148148148145,0.5506666666666667
11,52,LR,0.4727272727272727,0.4727272727272727,0.5146666666666667
11,52,XGB,0.6181818181818182,0.5714285714285714,0.632
11,52,ELM,0.6363636363636364,0.6153846153846154,0.612
11,52,MGO,0.5636363636363636,0.52,0.6493333333333334
11,52,RUN,0.5454545454545454,0.576271186440678,0.5586666666666666
