algo,run_id,seed,train_time_sec,test_time_sec,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
RUN,4,46,18.843684600000017,0.0002026000000228123,0.84,0.8319559228650137,0.9901639344262295,0.9041916167664671,0.7663848144952545,34,61,3,302
RUN,5,47,17.64290729999999,0.00012309999999615684,0.8375,0.8260869565217391,0.9967213114754099,0.9034175334323923,0.7598274374460742,31,64,1,304
RUN,6,48,18.356672599999968,0.0001973999999904663,0.8475,0.8351648351648352,0.9967213114754099,0.9088191330343797,0.7439516824849008,35,60,1,304
RUN,7,49,20.47563759999997,7.74000000092201e-05,0.8475,0.840782122905028,0.9868852459016394,0.9079939668174962,0.7892320966350302,38,57,4,301
RUN,8,50,21.66574159999999,0.00010509999998475905,0.8525,0.8397790055248618,0.9967213114754099,0.9115442278860569,0.7467126833477135,37,58,1,304
RUN,9,51,23.672302300000013,0.0002774999999815009,0.8375,0.8314917127071824,0.9868852459016394,0.9025487256371814,0.7338395168248489,34,61,4,301
RUN,10,52,27.55118070000003,0.00013730000000578002,0.86,0.8487394957983193,0.9934426229508196,0.9154078549848943,0.7796721311475411,41,54,2,303
RUN,11,53,55.097471299999995,0.00018210000007456983,0.8425,0.8324175824175825,0.9934426229508196,0.905829596412556,0.7803278688524591,34,61,2,303
RUN,12,54,25.022249999999985,0.00020800000004328467,0.8425,0.84375,0.9737704918032787,0.9041095890410958,0.7415012942191546,40,55,8,297
RUN,13,55,25.99181090000002,0.0002609000000575179,0.84,0.8319559228650137,0.9901639344262295,0.9041916167664671,0.7436410698878344,34,61,3,302
RUN,14,56,25.334737200000063,7.949999996981205e-05,0.8325,0.8233695652173914,0.9934426229508196,0.9004457652303121,0.7562036238136325,30,65,2,303
RUN,15,57,43.3428758,0.00018919999990885117,0.84,0.8301369863013699,0.9934426229508196,0.9044776119402985,0.7380500431406385,33,62,2,303
RUN,16,58,23.032300799999916,0.0001549000000977685,0.8325,0.8198924731182796,1.0,0.9010339734121122,0.7484037963761865,28,67,0,305
RUN,17,59,21.82868689999998,0.0002832000000125845,0.8475,0.8333333333333334,1.0,0.9090909090909091,0.7715616911130285,34,61,0,305
RUN,18,60,24.768328199999928,0.00017030000003614987,0.8325,0.825136612021858,0.9901639344262295,0.9001490312965723,0.7676617773943055,31,64,3,302
RUN,19,61,20.487295899999936,7.379999999557185e-05,0.84,0.8301369863013699,0.9934426229508196,0.9044776119402985,0.7242105263157895,33,62,2,303
RUN,20,62,23.653630600000042,0.000320799999940391,0.835,0.8292011019283747,0.9868852459016394,0.9011976047904192,0.7320448662640208,33,62,4,301
MEO,1,43,24.259593100000075,0.0001598000000058164,0.8375,0.8260869565217391,0.9967213114754099,0.9034175334323923,0.7600345125107852,31,64,1,304
MEO,2,44,21.524509999999964,0.00021260000005440816,0.8175,0.8186813186813187,0.9770491803278688,0.890881913303438,0.783986194995686,29,66,7,298
MEO,3,45,21.132363499999997,0.00010950000000775617,0.8325,0.8269230769230769,0.9868852459016394,0.8998505231689088,0.7736669542709232,32,63,4,301
MEO,4,46,21.82754639999996,0.00018750000003819878,0.835,0.8238482384823849,0.9967213114754099,0.9020771513353115,0.7495427092320966,30,65,1,304
MEO,5,47,21.075170500000013,0.0002490999999054111,0.83,0.8246575342465754,0.9868852459016394,0.8985074626865671,0.7683520276100085,31,64,4,301
MEO,6,48,20.20990649999999,6.150000001525768e-05,0.8225,0.8128342245989305,0.9967213114754099,0.8954344624447718,0.7540293356341674,25,70,1,304
MEO,7,49,19.557710199999974,0.00011099999994712562,0.835,0.8256130790190735,0.9934426229508196,0.9017857142857143,0.7692148403796376,31,64,2,303
MEO,8,50,20.277720799999997,0.00018600000009882933,0.8475,0.8370165745856354,0.9934426229508196,0.9085457271364318,0.7540983606557377,36,59,2,303
MEO,9,51,18.625370999999973,0.0001535000000103537,0.8225,0.8232044198895028,0.9770491803278688,0.8935532233883059,0.7478515962036238,31,64,7,298
MEO,10,52,18.89508580000006,9.490000002188026e-05,0.82,0.8140161725067385,0.9901639344262295,0.893491124260355,0.7318723037100948,26,69,3,302
MEO,11,53,18.585836999999856,0.00023469999996450497,0.835,0.8238482384823849,0.9967213114754099,0.9020771513353115,0.7069542709232096,30,65,1,304
MEO,12,54,18.83417459999987,0.00011089999998148414,0.8475,0.840782122905028,0.9868852459016394,0.9079939668174962,0.7859879206212252,38,57,4,301
MEO,13,55,37.31448499999988,0.00015309999980672728,0.8425,0.8324175824175825,0.9934426229508196,0.905829596412556,0.7519585849870578,34,61,2,303
MEO,14,56,23.30566759999988,0.00014530000021295564,0.825,0.8184281842818428,0.9901639344262295,0.8961424332344213,0.7728731665228645,28,67,3,302
MEO,15,57,26.27066130000003,0.00010619999989103235,0.83,0.8264462809917356,0.9836065573770492,0.8982035928143712,0.7616220880069025,32,63,5,300
MEO,16,58,27.452621399999998,0.0002155999998194602,0.81,0.8053333333333333,0.9901639344262295,0.888235294117647,0.7104400345125108,22,73,3,302
MEO,17,59,26.67940169999997,0.00013429999989966745,0.8425,0.8361111111111111,0.9868852459016394,0.9052631578947369,0.7664538395168248,36,59,4,301
MEO,18,60,21.969588599999952,0.00012089999995623657,0.835,0.8256130790190735,0.9934426229508196,0.9017857142857143,0.7621742881794651,31,64,2,303
MEO,19,61,24.979909700000007,0.00016310000000885339,0.8225,0.8179347826086957,0.9868852459016394,0.8945022288261516,0.7310440034512511,28,67,4,301
MEO,20,62,21.259150999999974,0.00015110000003915047,0.8525,0.8435754189944135,0.9901639344262295,0.9110105580693816,0.7735979292493529,39,56,3,302
CLPSO,1,43,35.33988369999997,7.599999980811845e-05,0.8175,0.8169398907103825,0.980327868852459,0.8912071535022354,0.77190681622088,28,67,6,299
CLPSO,2,44,33.5076075999998,8.499999989908247e-05,0.8075,0.8114754098360656,0.9737704918032787,0.8852459016393442,0.7726315789473683,26,69,8,297
CLPSO,3,45,32.483747700000094,0.00015129999997043342,0.8125,0.8042328042328042,0.9967213114754099,0.890190336749634,0.7269715271786023,21,74,1,304
CLPSO,4,46,31.88629139999989,0.0001388000000588363,0.8125,0.8159340659340659,0.9737704918032787,0.8878923766816144,0.7800172562553925,28,67,8,297
CLPSO,5,47,31.711826200000132,0.00010919999999714491,0.815,0.8181818181818182,0.9737704918032787,0.8892215568862275,0.7576186367558239,29,66,8,297
CLPSO,6,48,31.525156899999956,0.0002441999999973632,0.815,0.8164383561643835,0.9770491803278688,0.8895522388059701,0.7756686798964624,28,67,7,298
CLPSO,7,49,31.454258600000003,7.619999996677507e-05,0.815,0.8113207547169812,0.9868852459016394,0.8905325443786982,0.7479551337359793,25,70,4,301
CLPSO,8,50,31.67087809999998,8.600000001024455e-05,0.8125,0.8091397849462365,0.9868852459016394,0.8892171344165436,0.7153753235547885,24,71,4,301
CLPSO,9,51,32.7361906000001,0.0001754999998411222,0.81,0.8136986301369863,0.9737704918032787,0.8865671641791045,0.7670750647109578,27,68,8,297
CLPSO,10,52,33.01212020000003,0.0002285999999003252,0.815,0.8130081300813008,0.9836065573770492,0.8902077151335311,0.7408800690250216,26,69,5,300
CLPSO,11,53,35.09490219999998,8.360000015272817e-05,0.8125,0.8194444444444444,0.9672131147540983,0.8872180451127819,0.784020707506471,30,65,10,295
CLPSO,12,54,34.836438000000044,9.540000019114814e-05,0.81,0.806970509383378,0.9868852459016394,0.887905604719764,0.7523382226056946,23,72,4,301
CLPSO,13,55,33.116155100000014,0.0001190000000406144,0.8075,0.8097826086956522,0.9770491803278688,0.8855869242199108,0.7197584124245039,25,70,7,298
CLPSO,14,56,32.841475300000184,6.499999994957761e-05,0.815,0.808,0.9934426229508196,0.8911764705882353,0.744400345125108,23,72,2,303
CLPSO,15,57,26.65371600000003,0.00018049999994218524,0.8175,0.8135135135135135,0.9868852459016394,0.8918518518518519,0.750060396893874,26,69,4,301
CLPSO,16,58,26.409313899999916,0.00010120000001734297,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.7536496980155306,26,69,2,303
CLPSO,17,59,25.619328900000028,0.00022100000001046283,0.8125,0.8125,0.980327868852459,0.888558692421991,0.7618981880931839,26,69,6,299
CLPSO,18,60,25.567445700000007,5.600000008598727e-05,0.8125,0.8091397849462365,0.9868852459016394,0.8892171344165436,0.7551682484900776,24,71,4,301
CLPSO,19,61,25.881539499999917,9.190000014314137e-05,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.7427782571182054,26,69,2,303
CLPSO,20,62,25.75992939999992,5.7700000070326496e-05,0.81,0.806970509383378,0.9868852459016394,0.887905604719764,0.7360828300258844,23,72,4,301
HIWOA,1,43,12.602226900000005,8.09999999091815e-05,0.8125,0.8125,0.980327868852459,0.888558692421991,0.765176876617774,26,69,6,299
HIWOA,2,44,12.285609900000054,6.000000007588824e-05,0.8125,0.8108108108108109,0.9836065573770492,0.8888888888888888,0.7250388265746333,25,70,5,300
HIWOA,3,45,13.340457000000015,0.0001273000000310276,0.825,0.8236914600550964,0.980327868852459,0.8952095808383234,0.7659016393442623,31,64,6,299
HIWOA,4,46,12.375724199999922,0.0002297000000908156,0.82,0.8174386920980926,0.9836065573770492,0.8928571428571429,0.6437963761863676,28,67,5,300
HIWOA,5,47,12.325269000000162,0.00011770000014621473,0.82,0.8140161725067385,0.9901639344262295,0.893491124260355,0.7169283865401208,26,69,3,302
HIWOA,6,48,12.856617099999994,8.509999997841078e-05,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.7571354616048318,26,69,2,303
HIWOA,7,49,14.112495999999965,0.00020019999988107884,0.82,0.8106666666666666,0.9967213114754099,0.8941176470588236,0.7302157031924073,24,71,1,304
HIWOA,8,50,14.754188800000065,0.00016210000012506498,0.8125,0.8058510638297872,0.9934426229508196,0.8898678414096917,0.7191716997411561,22,73,2,303
HIWOA,9,51,13.674977399999989,0.00011769999991884106,0.8175,0.8068783068783069,1.0,0.8931185944363104,0.7012251941328732,22,73,0,305
HIWOA,10,52,11.17807559999983,0.00017530000013721292,0.81,0.8086253369272237,0.9836065573770492,0.8875739644970414,0.7483002588438309,24,71,5,300
HIWOA,11,53,12.552353799999992,5.040000019107538e-05,0.8225,0.8162162162162162,0.9901639344262295,0.8948148148148148,0.7316652286453839,27,68,3,302
