run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
1,42,ELM,0.7625570776255708,0.7448979591836735,0.73,0.7373737373737373,0.7599579831932772,94,25,27,73,0.026944300000000254,0.00023499999999998522
1,42,LogReg,0.7625570776255708,0.7727272727272727,0.68,0.723404255319149,0.8397478991596639,99,20,32,68,0.008281000000000205,0.0005550999999996975
1,42,RF,0.9908675799086758,0.99,0.99,0.99,0.9992436974789917,118,1,1,99,0.05857810000000008,0.006407900000001021
1,42,SVC_RBF,0.8401826484018264,0.9012345679012346,0.73,0.8066298342541437,0.9364705882352942,111,8,27,73,0.045238899999999305,0.002553400000000039
1,42,XGB,0.8904109589041096,0.9222222222222223,0.83,0.8736842105263158,0.9655462184873949,112,7,17,83,0.02296049999999994,0.0011660999999989485
1,42,MLP,0.954337899543379,0.95,0.95,0.95,0.990672268907563,114,5,5,95,0.2986860999999994,0.0004299999999997084
1,42,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,2.4117490000000004,0.0038623999999991554
1,42,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.005383500000000652,0.00041650000000004184
2,43,ELM,0.7488584474885844,0.7272727272727273,0.72,0.7236180904522613,0.7465546218487394,92,27,28,72,0.002769600000000594,9.329999999962979e-05
2,43,LogReg,0.7534246575342466,0.75,0.69,0.71875,0.837310924369748,96,23,31,69,0.004626100000001188,0.0002884999999999138
2,43,RF,0.9954337899543378,1.0,0.99,0.9949748743718593,0.9997899159663867,119,0,1,99,0.03665810000000036,0.003638599999998604
2,43,SVC_RBF,0.8584474885844748,0.896551724137931,0.78,0.8342245989304813,0.9202521008403362,110,9,22,78,0.0328071000000012,0.0051328000000001595
2,43,XGB,0.867579908675799,0.865979381443299,0.84,0.8527918781725888,0.9665546218487395,106,13,16,84,0.026258200000000897,0.0010580000000004475
2,43,MLP,0.9315068493150684,0.9473684210526315,0.9,0.9230769230769231,0.9888235294117647,114,5,10,90,0.2571646000000012,0.00044849999999918566
2,43,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.006930800000001014,0.005697099999999011
2,43,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.004658700000000238,0.0004325999999998942
3,44,ELM,0.817351598173516,0.8061224489795918,0.79,0.797979797979798,0.8151680672268907,100,19,21,79,0.002321699999999538,8.180000000024279e-05
3,44,LogReg,0.7671232876712328,0.7752808988764045,0.69,0.7301587301587301,0.851344537815126,99,20,31,69,0.0048218999999996015,0.000328299999999615
3,44,RF,0.9908675799086758,0.99,0.99,0.99,0.9997899159663866,118,1,1,99,0.04015880000000038,0.00438570000000027
3,44,SVC_RBF,0.8721461187214612,0.9186046511627907,0.79,0.8494623655913979,0.9390756302521008,112,7,21,79,0.04109860000000154,0.010118199999999078
3,44,XGB,0.8949771689497716,0.9425287356321839,0.82,0.8770053475935828,0.9721008403361344,114,5,18,82,0.02011779999999952,0.0008634999999994619
3,44,MLP,0.958904109589041,0.9595959595959596,0.95,0.9547738693467337,0.992436974789916,115,4,5,95,0.24688130000000008,0.0006292999999999438
3,44,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.0062232000000008725,0.0033455000000000013
3,44,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.004656400000000005,0.0003680999999993162
4,45,ELM,0.776255707762557,0.8,0.68,0.7351351351351352,0.7685714285714287,102,17,32,68,0.0025362000000015428,0.000102199999998831
4,45,LogReg,0.7488584474885844,0.7586206896551724,0.66,0.7058823529411765,0.8263865546218486,98,21,34,66,0.005007100000000264,0.0002200000000005531
4,45,RF,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.04129110000000047,0.0029999000000007214
4,45,SVC_RBF,0.8264840182648402,0.8974358974358975,0.7,0.7865168539325843,0.9342436974789916,111,8,30,70,0.03556820000000016,0.004280599999999524
4,45,XGB,0.8995433789954338,0.9239130434782609,0.85,0.8854166666666666,0.9546218487394957,112,7,15,85,0.022421900000001216,0.0008156999999986425
4,45,MLP,0.9452054794520548,0.9489795918367347,0.93,0.9393939393939394,0.9890756302521009,114,5,7,93,0.25844670000000036,0.0003690000000009519
4,45,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.0050752000000002795,0.003189700000000073
4,45,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.005011599999999561,0.00041470000000032314
5,46,ELM,0.776255707762557,0.7802197802197802,0.71,0.743455497382199,0.7709663865546218,99,20,29,71,0.0035572000000012594,0.0001610000000002998
5,46,LogReg,0.7351598173515982,0.7333333333333333,0.66,0.6947368421052632,0.8283193277310924,95,24,34,66,0.007206899999999905,0.0006752999999992682
5,46,RF,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.04175419999999974,0.0038615000000010724
5,46,SVC_RBF,0.8767123287671232,0.9101123595505618,0.81,0.8571428571428571,0.925,111,8,19,81,0.037932200000000194,0.004900199999999799
5,46,XGB,0.8812785388127854,0.9111111111111111,0.82,0.8631578947368421,0.9715126050420169,111,8,18,82,0.028607200000001498,0.0019670999999998884
5,46,MLP,0.9452054794520548,0.9489795918367347,0.93,0.9393939393939394,0.990672268907563,114,5,7,93,0.2546423999999998,0.0005059000000002811
5,46,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.005536300000001049,0.003682799999999986
5,46,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.004229500000000996,0.0003817999999995436
6,47,ELM,0.7671232876712328,0.7474747474747475,0.74,0.7437185929648241,0.7649579831932773,94,25,26,74,0.0023868000000000222,8.610000000075502e-05
6,47,LogReg,0.7579908675799086,0.7526881720430108,0.7,0.7253886010362695,0.8341176470588235,96,23,30,70,0.0042895999999998935,0.0003209000000001794
6,47,RF,0.9908675799086758,1.0,0.98,0.98989898989899,0.9999159663865547,119,0,2,98,0.036691199999999924,0.003454200000000185
6,47,SVC_RBF,0.8493150684931506,0.8681318681318682,0.79,0.8272251308900523,0.9325210084033613,107,12,21,79,0.03317939999999986,0.0037877999999995637
6,47,XGB,0.8858447488584474,0.9213483146067416,0.82,0.8677248677248677,0.9573109243697479,112,7,18,82,0.028237599999998864,0.0008911000000004776
6,47,MLP,0.9680365296803652,0.9603960396039604,0.97,0.9651741293532339,0.9934453781512604,115,4,3,97,0.2673481000000013,0.0006757999999997821
6,47,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.005922699999999281,0.003463800000000461
6,47,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.0043141000000002094,0.0003466999999997
7,48,ELM,0.7625570776255708,0.7307692307692307,0.76,0.7450980392156863,0.7623529411764705,91,28,24,76,0.004997699999998773,0.00022550000000087778
7,48,LogReg,0.726027397260274,0.717391304347826,0.66,0.6875,0.8272268907563025,93,26,34,66,0.006902900000000045,0.0006471999999995148
7,48,RF,0.9954337899543378,0.9900990099009901,1.0,0.9950248756218906,0.9999579831932772,118,1,0,100,0.036416899999998975,0.0046336000000000155
7,48,SVC_RBF,0.8447488584474886,0.8586956521739131,0.79,0.8229166666666666,0.9342436974789915,106,13,21,79,0.038077099999998865,0.0047781000000011176
