algo,run_id,seed,train_time_sec,test_time_sec,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
GA,1,43,12.216888899999999,9.079999999883626e-05,0.8812785388127854,0.9021739130434783,0.83,0.8645833333333334,0.9088235294117647,110,9,17,83
GA,2,44,12.118651,0.00010870000000551272,0.8995433789954338,0.8979591836734694,0.88,0.8888888888888888,0.926470588235294,109,10,12,88
GA,3,45,12.507857600000001,0.00011080000000163182,0.8858447488584474,0.8787878787878788,0.87,0.8743718592964824,0.9225210084033614,107,12,13,87
GA,4,46,12.562606599999995,5.760000000520904e-05,0.8858447488584474,0.9213483146067416,0.82,0.8677248677248677,0.8973949579831932,112,7,18,82
GA,5,47,12.642880499999997,7.239999999342217e-05,0.8858447488584474,0.9120879120879121,0.83,0.8691099476439791,0.9018487394957984,111,8,17,83
GA,6,48,12.163560500000003,8.330000000000837e-05,0.8949771689497716,0.9139784946236559,0.85,0.8808290155440415,0.9240336134453782,111,8,15,85
GA,7,49,11.997591499999999,9.349999999130887e-05,0.8949771689497716,0.9325842696629213,0.83,0.8783068783068783,0.8965546218487394,113,6,17,83
GA,8,50,11.868804499999996,0.00017809999999940374,0.8858447488584474,0.8787878787878788,0.87,0.8743718592964824,0.9218487394957982,107,12,13,87
GA,9,51,11.861186200000006,9.509999999579577e-05,0.8858447488584474,0.8865979381443299,0.86,0.8730964467005076,0.8967226890756302,108,11,14,86
GA,10,52,12.387782200000004,0.00019480000000271502,0.8812785388127854,0.8936170212765957,0.84,0.865979381443299,0.9144537815126049,109,10,16,84
GA,11,53,11.917310200000003,0.00013329999998745734,0.8812785388127854,0.8775510204081632,0.86,0.8686868686868687,0.9156302521008404,107,12,14,86
GA,12,54,12.0712786,6.249999998431122e-05,0.8767123287671232,0.8762886597938144,0.85,0.8629441624365483,0.9170588235294117,107,12,15,85
GA,13,55,11.895845600000001,0.00011639999999601969,0.8995433789954338,0.8979591836734694,0.88,0.8888888888888888,0.9484873949579832,109,10,12,88
GA,14,56,12.209350599999993,0.00011860000000751825,0.8812785388127854,0.87,0.87,0.87,0.9161344537815126,106,13,13,87
GA,15,57,11.973030500000021,9.299999999257125e-05,0.8904109589041096,0.9130434782608695,0.84,0.875,0.9057142857142857,111,8,16,84
GA,16,58,11.809571299999988,9.310000001505614e-05,0.8904109589041096,0.8877551020408163,0.87,0.8787878787878788,0.9078991596638654,108,11,13,87
GA,17,59,12.8811484,5.790000000160944e-05,0.8858447488584474,0.8865979381443299,0.86,0.8730964467005076,0.9319327731092436,108,11,14,86
GA,18,60,12.415081600000008,0.0002772999999933745,0.8858447488584474,0.8865979381443299,0.86,0.8730964467005076,0.9252100840336135,108,11,14,86
GA,19,61,12.175195699999989,0.00014229999999315623,0.8995433789954338,0.8979591836734694,0.88,0.8888888888888888,0.912016806722689,109,10,12,88
GA,20,62,12.6313021,0.00011560000001509252,0.8858447488584474,0.8865979381443299,0.86,0.8730964467005076,0.9094117647058824,108,11,14,86
RUN,1,43,20.73560420000001,8.539999998902204e-05,0.8995433789954338,0.8979591836734694,0.88,0.8888888888888888,0.8957142857142857,109,10,12,88
RUN,2,44,20.249951699999997,0.00011920000002874076,0.9041095890410958,0.9157894736842105,0.87,0.8923076923076924,0.9173109243697479,111,8,13,87
RUN,3,45,20.21459269999997,0.00019329999997808045,0.91324200913242,0.9090909090909091,0.9,0.9045226130653267,0.8988235294117647,110,9,10,90
RUN,4,46,20.103809299999966,5.7999999967250915e-05,0.8721461187214612,0.9,0.81,0.8526315789473684,0.8714285714285714,110,9,19,81
RUN,5,47,19.383090200000026,0.0001746000000366621,0.8949771689497716,0.8888888888888888,0.88,0.8844221105527639,0.8919327731092437,108,11,12,88
RUN,6,48,19.847960100000023,8.270000000720756e-05,0.8995433789954338,0.9431818181818182,0.83,0.8829787234042553,0.9001680672268908,114,5,17,83
RUN,7,49,19.598099900000022,0.00017529999996668266,0.9041095890410958,0.9247311827956989,0.86,0.8911917098445595,0.9023529411764706,112,7,14,86
RUN,8,50,19.289558399999976,9.219999998322237e-05,0.9041095890410958,0.9072164948453608,0.88,0.8934010152284264,0.8752941176470589,110,9,12,88
