run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
1,42,XGB,threshold,22,2,64,12,0.34,0.8571428571428571,0.1578947368421052,0.1578947368421052,0.9166666666666666,0.2558139534883721,0.2666666666666666,0.5372807017543859,0.380442955126341,0.0917726448160835,0.5010964912280702,0.7831148528213772,0.1863892195246995
1,42,LR,none,0,24,1,75,0.75,0.7575757575757576,0.986842105263158,0.986842105263158,0.0,0.0,0.8571428571428571,0.4934210526315789,0.0,-0.0564782494724905,0.5131578947368421,0.7786969208380637,0.1880117036248131
1,42,LR,smote,12,12,26,50,0.62,0.8064516129032258,0.6578947368421053,0.6578947368421053,0.5,0.3157894736842105,0.7246376811594203,0.5789473684210527,0.5735393346764044,0.1389288458097031,0.530701754385965,0.7832420590881042,0.2441437000224379
1,42,LR,classweight,13,11,29,47,0.6,0.8103448275862069,0.618421052631579,0.618421052631579,0.5416666666666666,0.3095238095238095,0.7014925373134329,0.5800438596491229,0.5787729003464472,0.1385261590109665,0.5175438596491229,0.7841123546398262,0.2452018312510875
1,42,LR,threshold,14,10,33,43,0.57,0.8113207547169812,0.5657894736842105,0.5657894736842105,0.5833333333333334,0.2978723404255319,0.6666666666666666,0.5745614035087719,0.5744944383100004,0.1276055674905498,0.5131578947368421,0.7786969208380637,0.1880117036248131
1,42,ELM,none,1,23,5,71,0.72,0.7553191489361702,0.9342105263157896,0.9342105263157896,0.0416666666666666,0.1666666666666666,0.8352941176470589,0.487938596491228,0.1972953080954821,-0.0433811147256942,0.474780701754386,0.7591462552292244,0.2065376790656972
1,42,ELM,smote,8,16,26,50,0.58,0.7575757575757576,0.6578947368421053,0.6578947368421053,0.3333333333333333,0.2352941176470588,0.704225352112676,0.4956140350877193,0.468292905790847,-0.0079085367917093,0.4934210526315789,0.7662970784300989,0.2375246559383853
1,42,ELM,threshold,19,5,55,21,0.4,0.8076923076923077,0.2763157894736842,0.2763157894736842,0.7916666666666666,0.2567567567567567,0.4117647058823529,0.5339912280701754,0.4677071733467426,0.0661921875843,0.474780701754386,0.7591462552292244,0.2065376790656972
1,42,MEO,none,1,23,8,68,0.69,0.7472527472527473,0.8947368421052632,0.8947368421052632,0.0416666666666666,0.1111111111111111,0.8143712574850299,0.4682017543859649,0.1930821114303082,-0.0949081747750982,0.4703947368421052,0.7667708032966082,0.2123474983126228
1,42,MEO,smote,8,16,30,46,0.54,0.7419354838709677,0.6052631578947368,0.6052631578947368,0.3333333333333333,0.2105263157894736,0.6666666666666666,0.4692982456140351,0.4491707759470915,-0.0540278844815512,0.4950657894736842,0.8025534418688962,0.2449536557474367
1,42,MEO,threshold,0,24,2,74,0.74,0.7551020408163265,0.9736842105263158,0.9736842105263158,0.0,0.0,0.8505747126436781,0.4868421052631579,0.0,-0.0802787838498594,0.4703947368421052,0.7667708032966082,0.2123474983126228
1,42,HIWOA,none,3,21,6,70,0.73,0.7692307692307693,0.9210526315789472,0.9210526315789472,0.125,0.3333333333333333,0.8383233532934131,0.5230263157894737,0.3393104462691481,0.0687266093198987,0.5169956140350878,0.7655657475180488,0.2088620437233169
1,42,HIWOA,smote,7,17,15,61,0.68,0.782051282051282,0.8026315789473685,0.8026315789473685,0.2916666666666667,0.3181818181818182,0.7922077922077922,0.5471491228070176,0.4838397226282506,0.0972203965453601,0.5372807017543859,0.7606006455227783,0.2347152685602574
1,42,HIWOA,threshold,14,10,37,39,0.53,0.7959183673469388,0.5131578947368421,0.5131578947368421,0.5833333333333334,0.2745098039215686,0.624,0.5482456140350878,0.5471216549024156,0.0824360402762949,0.5169956140350878,0.7655657475180488,0.2088620437233169
1,42,HGS,none,2,22,7,69,0.71,0.7582417582417582,0.9078947368421052,0.9078947368421052,0.0833333333333333,0.2222222222222222,0.8263473053892215,0.4956140350877193,0.2750598021100904,-0.0130907827275997,0.4895833333333333,0.7393923700312632,0.2076533122722785
1,42,HGS,smote,7,17,19,57,0.64,0.7702702702702703,0.75,0.75,0.2916666666666667,0.2692307692307692,0.76,0.5208333333333334,0.4677071733467426,0.0405694052936032,0.5350877192982456,0.7816480151479325,0.2249225732460381
1,42,HGS,threshold,9,15,27,49,0.58,0.765625,0.6447368421052632,0.6447368421052632,0.375,0.25,0.7,0.5098684210526316,0.4917075510803893,0.0175609839671567,0.4895833333333333,0.7393923700312632,0.2076533122722785
1,42,HHO,none,3,21,7,69,0.72,0.7666666666666667,0.9078947368421052,0.9078947368421052,0.125,0.3,0.8313253012048193,0.5164473684210527,0.3368780819603186,0.0468292905790847,0.5104166666666666,0.7698873430553506,0.2121479674674381
1,42,HHO,smote,9,15,23,53,0.62,0.7794117647058824,0.6973684210526315,0.6973684210526315,0.375,0.28125,0.7361111111111112,0.5361842105263157,0.5113835721791783,0.0662570458897086,0.5082236842105263,0.746768918422638,0.2313774352261827
1,42,HHO,threshold,1,23,7,69,0.7,0.75,0.9078947368421052,0.9078947368421052,0.0416666666666666,0.125,0.8214285714285714,0.4747807017543859,0.1944966513038747,-0.0794029253957529,0.5104166666666666,0.7698873430553506,0.2121479674674381
2,43,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4270833333333333,0.7517761268770562,0.1839268507191543
2,43,SVM,smote,5,19,16,60,0.65,0.759493670886076,0.7894736842105263,0.7894736842105263,0.2083333333333333,0.238095238095238,0.7741935483870968,0.4989035087719298,0.4055535528269063,-0.0022994521747876,0.5148026315789473,0.7957321830675462,0.2459891814970808
2,43,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5405701754385965,0.8013787876790577,0.1821929882972436
2,43,SVM,threshold,1,23,8,68,0.69,0.7472527472527473,0.8947368421052632,0.8947368421052632,0.0416666666666666,0.1111111111111111,0.8143712574850299,0.4682017543859649,0.1930821114303082,-0.0949081747750982,0.4270833333333333,0.7517761268770562,0.1839268507191543
2,43,MLP,none,1,23,1,75,0.76,0.7653061224489796,0.986842105263158,0.986842105263158,0.0416666666666666,0.5,0.8620689655172413,0.5142543859649122,0.2027767764134531,0.0869686825040144,0.542763157894737,0.8005531920132901,0.1941653490391862
