run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
1,42,MEO,smote,8,16,30,46,0.54,0.7419354838709677,0.6052631578947368,0.6052631578947368,0.3333333333333333,0.21052631578947367,0.6666666666666666,0.4692982456140351,0.4491707759470915,-0.05402788448155121,0.4950657894736842,0.8025534418688962,0.24495365574743672
1,42,MEO,threshold,0,24,2,74,0.74,0.7551020408163265,0.9736842105263158,0.9736842105263158,0.0,0.0,0.8505747126436781,0.4868421052631579,0.0,-0.08027878384985948,0.47039473684210525,0.7667708032966082,0.21234749831262284
1,42,HIWOA,none,3,21,6,70,0.73,0.7692307692307693,0.9210526315789473,0.9210526315789473,0.125,0.3333333333333333,0.8383233532934131,0.5230263157894737,0.3393104462691481,0.0687266093198987,0.5169956140350878,0.7655657475180488,0.20886204372331693
1,42,HIWOA,smote,7,17,15,61,0.68,0.782051282051282,0.8026315789473685,0.8026315789473685,0.2916666666666667,0.3181818181818182,0.7922077922077922,0.5471491228070176,0.4838397226282506,0.09722039654536019,0.5372807017543859,0.7606006455227783,0.23471526856025743
1,42,HIWOA,threshold,14,10,37,39,0.53,0.7959183673469388,0.5131578947368421,0.5131578947368421,0.5833333333333334,0.27450980392156865,0.624,0.5482456140350878,0.5471216549024156,0.08243604027629496,0.5169956140350878,0.7655657475180488,0.20886204372331693
1,42,HGS,none,2,22,7,69,0.71,0.7582417582417582,0.9078947368421053,0.9078947368421053,0.08333333333333333,0.2222222222222222,0.8263473053892215,0.49561403508771934,0.2750598021100904,-0.013090782727599752,0.4895833333333333,0.7393923700312632,0.2076533122722785
1,42,HGS,smote,7,17,19,57,0.64,0.7702702702702703,0.75,0.75,0.2916666666666667,0.2692307692307692,0.76,0.5208333333333334,0.46770717334674267,0.040569405293603276,0.5350877192982456,0.7816480151479325,0.2249225732460381
1,42,HGS,threshold,9,15,27,49,0.58,0.765625,0.6447368421052632,0.6447368421052632,0.375,0.25,0.7,0.5098684210526316,0.4917075510803893,0.017560983967156763,0.4895833333333333,0.7393923700312632,0.2076533122722785
1,42,HHO,none,3,21,7,69,0.72,0.7666666666666667,0.9078947368421053,0.9078947368421053,0.125,0.3,0.8313253012048193,0.5164473684210527,0.33687808196031865,0.0468292905790847,0.5104166666666666,0.7698873430553506,0.21214796746743814
1,42,HHO,smote,9,15,23,53,0.62,0.7794117647058824,0.6973684210526315,0.6973684210526315,0.375,0.28125,0.7361111111111112,0.5361842105263157,0.5113835721791783,0.06625704588970867,0.5082236842105263,0.746768918422638,0.23137743522618276
1,42,HHO,threshold,1,23,7,69,0.7,0.75,0.9078947368421053,0.9078947368421053,0.041666666666666664,0.125,0.8214285714285714,0.47478070175438597,0.19449665130387478,-0.07940292539575294,0.5104166666666666,0.7698873430553506,0.21214796746743814
2,43,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4270833333333333,0.7517761268770562,0.18392685071915438
2,43,SVM,smote,5,19,16,60,0.65,0.759493670886076,0.7894736842105263,0.7894736842105263,0.20833333333333334,0.23809523809523808,0.7741935483870968,0.49890350877192985,0.40555355282690636,-0.0022994521747876965,0.5148026315789473,0.7957321830675462,0.24598918149708082
2,43,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5405701754385965,0.8013787876790577,0.18219298829724365
2,43,SVM,threshold,1,23,8,68,0.69,0.7472527472527473,0.8947368421052632,0.8947368421052632,0.041666666666666664,0.1111111111111111,0.8143712574850299,0.4682017543859649,0.19308211143030823,-0.0949081747750982,0.4270833333333333,0.7517761268770562,0.18392685071915438
