model,arm,metric,mean_none,mean_arm,mean_diff,ci_low,ci_high,p_wilcoxon,p_bh,significant_bh_0.05
LR,smote,accuracy,0.759,0.5660000000000001,-0.19300000000000003,-0.2121528103757504,-0.17384718962424967,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,roc_auc,0.5379660087719298,0.5351425438596491,-0.002823464912280699,-0.010314965972048345,0.004668036147486948,0.40909767150878906,0.5361959772202575,False
LR,adasyn,pr_auc,0.7915587850538456,0.7908942077185561,-0.0006645773352895567,-0.007529905809559391,0.006200751138980277,0.8983173370361328,1.0,False
LR,adasyn,balanced_accuracy,0.49934210526315786,0.5339364035087719,0.03459429824561401,0.007697423169575987,0.061491173321652035,0.017181396484375,0.028993606567382812,True
LR,adasyn,gmean,0.0,0.5242728610444412,0.5242728610444412,0.49389231531046035,0.5546534067784219,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,sensitivity,0.9986842105263157,0.6032894736842105,-0.3953947368421053,-0.41965765477338746,-0.37113181891082314,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,specificity,0.0,0.4645833333333333,0.4645833333333333,0.41005684765254274,0.5191098190141239,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,f1,0.862987012987013,0.6798883446391971,-0.18309866834781585,-0.20083322705810933,-0.16536410963752238,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,mcc,-0.00564782494724905,0.05880575701087594,0.06445358195812498,0.016949517887424617,0.11195764602882534,0.01531219482421875,0.026001840267541272,True
LR,adasyn,accuracy,0.759,0.57,-0.189,-0.20873386913585248,-0.16926613086414752,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,roc_auc,0.5379660087719298,0.5389254385964912,0.0009594298245614086,-0.0010121103279436328,0.00293096997706645,0.40909767150878906,0.5361959772202575,False
LR,classweight,pr_auc,0.7915587850538456,0.7919719994776919,0.00041321442384640303,-0.0015695850434407467,0.002396013891133553,0.4523754119873047,0.5707540244699638,False
LR,classweight,balanced_accuracy,0.49934210526315786,0.5404605263157894,0.041118421052631575,0.016852589881508073,0.06538425222375507,0.0010166168212890625,0.0018930106327451509,True
LR,classweight,gmean,0.0,0.5352219070596178,0.5352219070596178,0.5089929529275335,0.5614508611917021,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,sensitivity,0.9986842105263157,0.5809210526315789,-0.41776315789473684,-0.4388956322669337,-0.39663068352254,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,specificity,0.0,0.5,0.5,0.45099258418355076,0.5490074158164493,1.9073486328125e-06,4.858340857163915e-06,True
